2021-12-08 09:20:25,281 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Account&docname=Guarantee%20Trust%20Bank%20-%20Wk', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:34,625 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Account&name=Bank+Accounts+-+Wk&_=1638948330827', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:34,684 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Account&docname=Bank%20Accounts%20-%20Wk', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:39,279 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Account&name=Current+Assets+-+Wk&_=1638948330828', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:39,313 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Account&docname=Current%20Assets%20-%20Wk', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:47,419 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Account&name=Application+of+Funds+(Assets)+-+Wk&_=1638948330829', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:48,256 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Account&docname=Application%20of%20Funds%20%28Assets%29%20-%20Wk', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:07,688 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.desktop.get_desktop_page', 'full_path': '/api/method/frappe.desk.desktop.get_desktop_page?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:07,873 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.db_query.get_list', 'full_path': '/api/method/frappe.model.db_query.get_list?filters=%7B%22name%22%3A%22ibrahimtijani08%40gmail.com%22%7D&fields=%5B%22*%22%5D&doctype=Dashboard+Settings&limit=20&_=1638948330830', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:10,500 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoctype', 'full_path': '/api/method/frappe.desk.form.load.getdoctype?doctype=Quality+Goal&with_parent=1&cached_timestamp=&_=1638948330831', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:10,585 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.listview.get_list_settings', 'full_path': '/api/method/frappe.desk.listview.get_list_settings?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,011 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.db_query.get_list', 'full_path': '/api/method/frappe.model.db_query.get_list?filters=%7B%22reference_doctype%22%3A%22Quality+Goal%22%7D&doctype=Calendar+View&fields=%5B%22name%22%5D&limit=20&_=1638948330833', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,013 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.doctype.kanban_board.kanban_board.get_kanban_boards', 'full_path': '/api/method/frappe.desk.doctype.kanban_board.kanban_board.get_kanban_boards?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,029 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.db_query.get_list', 'full_path': '/api/method/frappe.model.db_query.get_list?fields=%5B%22name%22%2C%22filter_name%22%2C%22for_user%22%2C%22filters%22%5D&filters=%7B%22reference_doctype%22%3A%22Quality+Goal%22%7D&or_filters=%5B%5B%22for_user%22%2C%22%3D%22%2C%22ibrahimtijani08%40gmail.com%22%5D%2C%5B%22for_user%22%2C%22%3D%22%2C%22%22%5D%5D&doctype=List+Filter&limit=20&_=1638948330832', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,041 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,114 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,116 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,290 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Quality+Goal&filters=%5B%5D&fields=%5B%22count(%60tabQuality+Goal%60.%60name%60)+AS+total_count%22%5D&_=1638948330834', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:11,355 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Quality+Goal&filters=%5B%5D&_=1638948330835', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,593 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,635 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,820 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Quality+Goal&filters=%5B%5D&fields=%5B%22count(%60tabQuality+Goal%60.%60name%60)+AS+total_count%22%5D&_=1638948330836', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,830 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Quality+Goal&filters=%5B%5D&_=1638948330837', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,928 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.utils.validate_link', 'full_path': '/api/method/frappe.desk.form.utils.validate_link?value=ibrahimtijani08%40gmail.com&options=User&fetch=&_=1638948330838', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:13,979 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.utils.validate_link', 'full_path': '/api/method/frappe.desk.form.utils.validate_link?value=ibrahimtijani08%40gmail.com&options=User&fetch=&_=1638948330839', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:20,589 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:21,288 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.search.search_link', 'full_path': '/api/method/frappe.desk.search.search_link?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:21:35,292 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
